Target,Generation,Editing_rate,Accuracy
200,6,0.05,35
200,7,0.05,45
200,8,0.05,64
200,9,0.05,72
200,10,0.05,80
200,11,0.05,85
200,12,0.05,86
200,13,0.05,88
200,14,0.05,90.2
200,15,0.05,90
500,6,0.05,43
500,7,0.05,52
500,8,0.05,70
500,9,0.05,79
500,10,0.05,84
500,11,0.05,87
500,12,0.05,90
500,13,0.05,92
500,14,0.05,93
500,15,0.05,94
800,6,0.05,58
800,7,0.05,67
800,8,0.05,75
800,9,0.05,82
800,10,0.05,85
800,11,0.05,89
800,12,0.05,91
800,13,0.05,92
800,14,0.05,93
800,15,0.05,96
200,6,0.1,43
200,7,0.1,55
200,8,0.1,69
200,9,0.1,84
200,10,0.1,92
200,11,0.1,94
200,12,0.1,95
200,13,0.1,85
200,14,0.1,70
200,15,0.1,50
500,6,0.1,50
500,7,0.1,58
500,8,0.1,72
500,9,0.1,88
500,10,0.1,93
500,11,0.1,95.5
500,12,0.1,95.5
500,13,0.1,87
500,14,0.1,72
500,15,0.1,58
800,6,0.1,60
800,7,0.1,65
800,8,0.1,79
800,9,0.1,90
800,10,0.1,93
800,11,0.1,96.5
800,12,0.1,96
800,13,0.1,89
800,14,0.1,75
800,15,0.1,65
200,6,0.2,50
200,7,0.2,65
200,8,0.2,81
200,9,0.2,85
200,10,0.2,92
200,11,0.2,91
200,12,0.2,82
200,13,0.2,70
200,14,0.2,54
200,15,0.2,33
500,6,0.2,55
500,7,0.2,69
500,8,0.2,83
500,9,0.2,87
500,10,0.2,93
500,11,0.2,89
500,12,0.2,84
500,13,0.2,74
500,14,0.2,60
500,15,0.2,40
800,6,0.2,66
800,7,0.2,72
800,8,0.2,85
800,9,0.2,89
800,10,0.2,94.5
800,11,0.2,90
800,12,0.2,85
800,13,0.2,78
800,14,0.2,66
800,15,0.2,48
200,6,0.5,65
200,7,0.5,72
200,8,0.5,84
200,9,0.5,94
200,10,0.5,91
200,11,0.5,82
200,12,0.5,70
200,13,0.5,53
200,14,0.5,39
200,15,0.5,21
500,6,0.5,70
500,7,0.5,77
500,8,0.5,87
500,9,0.5,95
500,10,0.5,92
500,11,0.5,84
500,12,0.5,74
500,13,0.5,61
500,14,0.5,46
500,15,0.5,31
800,6,0.5,75
800,7,0.5,80
800,8,0.5,90
800,9,0.5,94.5
800,10,0.5,95
800,11,0.5,88
800,12,0.5,78
800,13,0.5,65
800,14,0.5,52
800,15,0.5,41
